feature_name,Greek_League,Liga_ACB,Eurolegue,Eurocup,Mean
pi_ratings,0.78,0.89,0.56,1.0,0.81
pagerank,1.0,0.56,0.78,0.78,0.78
Current_form_EDiff,0.89,0.33,0.67,1.0,0.72
Current_form_Game_Score_received,1.0,0.22,0.56,1.0,0.69
Current_form_pointsdiff,0.78,0.56,0.44,1.0,0.69
Current_form_FIC,0.78,0.56,0.67,0.67,0.67
history_Game_Score,0.78,0.44,0.56,0.89,0.67
history_FIC,0.78,0.67,0.44,0.78,0.67
Current_form_Play,0.67,0.67,0.56,0.67,0.64
Current_form_Performance_Index_received,0.78,0.44,0.33,1.0,0.64
history_Play_received,0.78,0.22,0.67,0.89,0.64
Current_form_EFG_received_sd,0.67,0.56,0.44,0.89,0.64
history_Ediff,0.89,0.33,0.56,0.78,0.64
tradition_pointsdiff_general,0.78,0.67,0.33,0.67,0.61
history_pointsdiff,0.78,0.44,0.44,0.78,0.61
tradition_pointsdiff_match,0.67,0.56,0.67,0.56,0.61
Current_form_FIC_received_sd,0.78,0.56,0.67,0.44,0.61
Current_form_elo,0.78,0.44,0.33,0.89,0.61
elo,0.89,0.11,0.44,1.0,0.61
history_EFG,0.89,0.33,0.67,0.44,0.58
Current_form_EDiff_sd,0.78,0.22,0.44,0.89,0.58
Current_form_Play_sd,0.78,0.33,0.44,0.78,0.58
Current_form_Ortg,0.78,0.56,0.44,0.56,0.58
history_TS_received,0.78,0.33,0.44,0.78,0.58
history_Points,0.78,0.56,0.33,0.67,0.58
Current_form_FIC_received,0.67,0.33,0.33,1.0,0.58
history_Ortg,0.78,0.33,0.67,0.56,0.58
history_Drtg,0.78,0.44,0.44,0.67,0.58
Current_form_Points,0.67,0.44,0.44,0.78,0.58
history_winner,0.67,0.44,0.56,0.67,0.58
history_Ediff_sd,0.78,0.44,0.56,0.56,0.58
history_TS_sd,0.67,0.33,0.33,0.89,0.56
history_EFG_received,0.67,0.11,0.78,0.67,0.56
Current_form_winner,0.67,0.33,0.33,0.89,0.56
Current_form_TS_sd,0.67,0.22,0.44,0.89,0.56
Current_form_Drtg_sd,0.56,0.44,0.33,0.89,0.56
Current_form_Points_sd,0.67,0.11,0.56,0.89,0.56
tradition_winner_general,0.78,0.67,0.44,0.33,0.56
history_pointsdiff_sd,0.78,0.33,0.56,0.56,0.56
Current_form_Points_received,0.67,0.22,0.44,0.78,0.53
history_Play,0.78,0.33,0.44,0.56,0.53
history_Points_received,0.67,0.22,0.44,0.78,0.53
history_Play_received_sd,0.67,0.22,0.56,0.67,0.53
history_Performance_Index,0.67,0.0,0.67,0.78,0.53
history_Points_received_sd,0.67,0.33,0.44,0.67,0.53
Current_form_Performance_Index_sd,0.78,0.11,0.56,0.67,0.53
Current_form_TS,0.67,0.0,0.56,0.89,0.53
history_Performance_Index_received,0.78,0.11,0.44,0.78,0.53
Current_form_Drtg,0.78,0.11,0.44,0.78,0.53
tradition_Ediff_general,0.67,0.33,0.56,0.56,0.53
Current_form_pointsdiff_sd,0.67,0.11,0.44,0.89,0.53
